id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11433047,Rental unit in New Orleans · ★5.0 · 2 bedrooms · 2 beds · 2 baths,14323705,Elena,,East Riverside,29.9207,-90.09343,Entire home/apt,200,30,9,2023-05-09,0.10,2,48,1,
11434086,Rental unit in New Orleans · ★5.0 · 2 bedrooms · 2 beds · 2 baths,14323705,Elena,,East Riverside,29.92063,-90.0914,Entire home/apt,150,30,9,2018-12-02,0.10,2,0,0,
11449809,Home in New Orleans · ★4.85 · 2 bedrooms · 2 beds · 1 bath,60197312,Talmadge,,Central City,29.9386,-90.08572,Entire home/apt,99,2,231,2023-11-13,2.46,2,160,15,"19STR-24294, 20-OSTR-01878"
11450971,Townhouse in New Orleans · ★4.96 · 1 bedroom · 2 beds · 1 bath,60205864,Arthur,,Bayou St. John,29.97499,-90.08464,Entire home/apt,100,30,69,2019-11-30,0.73,1,0,0,
11550732,Home in New Orleans · ★4.74 · 3 bedrooms · 3 beds · 1 bath,60975134,Bairod,,Gentilly Woods,30.01275,-90.03999,Entire home/apt,250,30,23,2019-10-28,0.25,1,0,0,
11590387,Townhouse in New Orleans · ★4.85 · 2 bedrooms · 2 beds · 2.5 baths,61299534,Kathleen,,Milneburg,30.0229,-90.05914,Entire home/apt,117,30,34,2020-02-23,0.36,2,0,0,19STR-23231
11592801,Home in New Orleans · ★4.77 · 5 bedrooms · 7 beds · 3 baths,4605202,Wayne,,Bayou St. John,29.97815,-90.08245,Entire home/apt,298,3,160,2023-11-12,1.74,4,323,6,"22-RSTR-05129, 22-OSTR-11557"
11639517,Home in New Orleans · ★4.84 · 5 bedrooms · 8 beds · 2 baths,39610123,Tracie,,Central City,29.93506,-90.08734,Entire home/apt,140,30,76,2022-11-04,1.05,3,362,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
11656163,Rental unit in New Orleans · ★4.93 · 1 bedroom · 4 beds · 1.5 baths,54405249,Mary Ann,,St. Thomas Dev,29.92832,-90.07555,Entire home/apt,150,1,162,2023-11-12,1.72,3,315,2,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
11658445,Home in New Orleans · ★4.83 · 1 bedroom · 1 bed · 1 bath,55187534,Glynn,,Lower Garden District,29.92683,-90.07785,Entire home/apt,70,2,224,2023-10-30,2.41,2,156,21,"21RSTR-14865, 21OSTR-14836"
